T,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.18,0.00127221,0.00125154,0.00124577,0.00199825,0.00199548,0.00198968
0.22,0.00103056,0.00102388,0.00100425,0.00163753,0.0016351,0.0016273
0.24,0.000941136,0.000938543,0.000915442,0.00150248,0.00150004,0.00149175
0.26,0.000865975,0.000866342,0.00084104,0.00138831,0.00138579,0.0013772
0.28,0.00080192,0.000804464,0.000777813,0.00129051,0.0012879,0.00127912
0.32,0.00069856,0.00070393,0.000676143,0.00113172,0.00112886,0.00111996
0.36,0.000618791,0.000625751,0.000597985,0.00100834,0.00100522,0.00099634
0.4,0.000555369,0.000563217,0.000536038,0.000909702,0.000906328,0.000897562
0.44,0.000503738,0.000512059,0.000485737,0.00082905,0.000825438,0.000816819
0.5,0.000442088,0.000450676,0.000425831,0.000732326,0.000728392,0.000720018
0.54,0.000408741,0.000417336,0.000393497,0.000679811,0.000675686,0.000667477
0.6,0.000367196,0.000375664,0.000353286,0.000614194,0.000609815,0.000601842
0.68,0.000323377,0.000331545,0.000310959,0.000544751,0.000540082,0.000532399
0.76,0.000288905,0.000296716,0.000277725,0.000489952,0.000485039,0.000477613
0.84,0.000261079,0.000268524,0.000250937,0.000445608,0.000440487,0.000433289
0.94,0.000233029,0.000240033,0.000223971,0.000400807,0.000395468,0.000388517
1.04,0.000210426,0.000217023,0.00020227,0.000364634,0.000359112,0.000352374
1.16,0.000188492,0.000194648,0.000181233,0.00032947,0.000323763,0.000317245
1.3,0.000168061,0.000173766,0.000161659,0.00029666,0.000290776,0.000284476
1.44,0.000151631,0.000156946,0.000145932,0.000270239,0.000264207,0.000258091
1.62,0.000134706,0.000139591,0.000129746,0.000242989,0.000236799,0.000230883
1.8,0.000121186,0.000125709,0.000116825,0.000221196,0.000214876,0.000209129
2,0.000109032,0.000113215,0.000105219,0.00020159,0.00019515,0.000189562
2.24,9.73253e-05,0.000101167,9.40458e-05,0.000182692,0.000176133,0.000170706
2.48,8.78941e-05,9.14518e-05,8.50494e-05,0.000167459,0.0001608,0.000155511
2.78,7.84037e-05,8.16669e-05,7.6001e-05,0.000152125,0.000145362,0.00014022
3.1,7.0312e-05,7.33174e-05,6.82896e-05,0.000139049,0.000132193,0.000127186
3.46,6.30034e-05,6.57706e-05,6.13272e-05,0.000127238,0.000120296,0.000115419
3.84,5.67796e-05,5.93398e-05,5.54002e-05,0.000117184,0.000110163,0.000105407
4.3,5.07209e-05,5.30762e-05,4.96323e-05,0.000107402,0.0001003,9.56731e-05
4.78,4.56449e-05,4.78259e-05,4.48011e-05,9.92132e-05,9.2039e-05,8.75316e-05
5.34,4.08787e-05,4.28937e-05,4.02659e-05,9.1534e-05,8.42865e-05,7.99042e-05
5.96,3.66485e-05,3.85146e-05,3.62415e-05,8.47302e-05,7.74118e-05,7.31551e-05
6.64,3.29188e-05,3.46523e-05,3.26939e-05,7.87451e-05,7.13578e-05,6.72275e-05
7.4,2.95629e-05,3.11759e-05,2.95023e-05,7.33755e-05,6.59192e-05,6.19199e-05
8.26,2.65113e-05,2.80141e-05,2.66004e-05,6.85113e-05,6.09844e-05,5.71238e-05
9.22,2.37784e-05,2.51817e-05,2.40017e-05,6.4176e-05,5.6577e-05,5.28627e-05
10.28,2.13545e-05,2.26693e-05,2.1697e-05,6.03547e-05,5.26821e-05,4.91216e-05
11.46,1.91845e-05,2.04197e-05,1.96336e-05,5.696e-05,4.92107e-05,4.58146e-05
12.78,1.72326e-05,1.8396e-05,1.77775e-05,5.39362e-05,4.6106e-05,4.28875e-05
14.26,1.54744e-05,1.65731e-05,1.61056e-05,5.12463e-05,4.33297e-05,4.03048e-05
15.9,1.39092e-05,1.49503e-05,1.46169e-05,4.88891e-05,4.08806e-05,3.80651e-05
17.74,1.24982e-05,1.34875e-05,1.32746e-05,4.68063e-05,3.86982e-05,3.61132e-05
19.8,1.12304e-05,1.21733e-05,1.20681e-05,4.49823e-05,3.67659e-05,3.44349e-05
22.08,1.01037e-05,1.10056e-05,1.09954e-05,4.3414e-05,3.50805e-05,3.30268e-05
24.62,9.09493e-06,9.9605e-06,1.00346e-05,4.20685e-05,3.36068e-05,3.1859e-05
27.46,8.18883e-06,9.02211e-06,9.17103e-06,4.09254e-05,3.23228e-05,3.0914e-05
30.64,7.37445e-06,8.17919e-06,8.39419e-06,3.99718e-05,3.12133e-05,3.01816e-05
34.18,6.64706e-06,7.42685e-06,7.69958e-06,3.92025e-05,3.02721e-05,2.96578e-05
38.12,5.99736e-06,6.75549e-06,7.07833e-06,3.86071e-05,2.94869e-05,2.93352e-05
42.52,5.41525e-06,6.15468e-06,6.52077e-06,3.81763e-05,2.88453e-05,2.92085e-05
47.42,4.89538e-06,5.61892e-06,6.02178e-06,3.79062e-05,2.83415e-05,2.92767e-05
52.9,4.42946e-06,5.13966e-06,5.57337e-06,3.77929e-05,2.79677e-05,2.95413e-05
59.02,4.01293e-06,4.71226e-06,5.17118e-06,3.78363e-05,2.77208e-05,3.00063e-05
65.82,3.64269e-06,4.33351e-06,4.81219e-06,3.80363e-05,2.75985e-05,3.06743e-05
73.42,3.31196e-06,3.9965e-06,4.48984e-06,3.83962e-05,2.75985e-05,3.1557e-05
81.9,3.01751e-06,3.69796e-06,4.20098e-06,3.89208e-05,2.77212e-05,3.26644e-05
91.36,2.75591e-06,3.43441e-06,3.94222e-06,3.96166e-05,2.79684e-05,3.40101e-05
101.92,2.52391e-06,3.20257e-06,3.71036e-06,4.04933e-05,2.83433e-05,3.56117e-05
113.68,2.31921e-06,3.0002e-06,3.5031e-06,4.15596e-05,2.88497e-05,3.74849e-05
126.82,2.13868e-06,2.8242e-06,3.31728e-06,4.28328e-05,2.94956e-05,3.96592e-05
141.46,1.98071e-06,2.67302e-06,3.15123e-06,4.43256e-05,3.02873e-05,4.21555e-05
157.8,1.8431e-06,2.54457e-06,3.00264e-06,4.60598e-05,3.12359e-05,4.50089e-05
176.02,1.72434e-06,2.43749e-06,2.86989e-06,4.80562e-05,3.23525e-05,4.82525e-05
196.34,1.62297e-06,2.35049e-06,2.75134e-06,5.0341e-05,3.3651e-05,5.19272e-05
219.02,1.53771e-06,2.28252e-06,2.64549e-06,5.2946e-05,3.5149e-05,5.60825e-05
244.3,1.46766e-06,2.23291e-06,2.55123e-06,5.59021e-05,3.68633e-05,6.07653e-05
272.52,1.41186e-06,2.20108e-06,2.46729e-06,5.92532e-05,3.88183e-05,6.60421e-05
