measurement_noise_stddev,sliding_window_size,quality_ratio,relative_error
0,9,1.96559e+15,1.13124e-14
0,8,1.63535e+15,1.08582e-14
0,7,1.81285e+15,6.30947e-14
0,6,1.31785e+15,3.04992e-14
0,5,4.70997e+14,4.32198e-14
0,4,6.90744e+14,6.19979e-14
0,3,3.03273e+14,1.76844e-13
0,2,3.062e+14,1.97438e-12
0.05,9,8.36333,2.85249
0.05,8,7.46662,1.65999
0.05,7,4.63008,14.3824
0.05,6,5.48907,5.48292
0.05,5,2.88768,29.5698
0.05,4,3.02608,25.0296
0.05,3,3.87437,160.497
0.05,2,3.45015,268.602
0.1,9,4.47401,12.4519
0.1,8,3.88373,3.37389
0.1,7,2.78882,19.0113
0.1,6,3.02517,24.4193
0.1,5,2.23712,5.59854
0.1,4,2.43456,1145.88
0.1,3,1.71686,60.9412
0.1,2,4.10473,1035.67
0.15,9,2.56669,26.0553
0.15,8,3.04303,30.4626
0.15,7,3.02534,9.00954
0.15,6,3.26767,35.2367
0.15,5,2.71153,55.0728
0.15,4,2.7995,29.8682
0.15,3,2.5477,168.616
0.15,2,3.68671,117.251
0.2,9,2.05201,21.1359
0.2,8,2.14536,18.6942
0.2,7,1.74202,47.7946
0.2,6,1.76492,34.1626
0.2,5,1.83282,87.029
0.2,4,2.6989,141.684
0.2,3,1.0897,27.0176
0.2,2,9.05459,208.361
0.25,9,2.344,5.09099
0.25,8,1.64547,44.4363
0.25,7,1.30615,41.6498
0.25,6,1.62963,422.192
0.25,5,2.12767,99.3736
0.25,4,1.91883,105.261
0.25,3,2.59814,145.728
0.25,2,1.22739,142.423
0.3,9,1.69429,45.1481
0.3,8,1.16003,76.9207
0.3,7,1.38799,88.8123
0.3,6,1.4036,187.714
0.3,5,1.4701,102.366
0.3,4,1.32073,37.1276
0.3,3,2.91558,248.059
0.3,2,7.33565,240.976
0.35,9,1.2731,99.8692
0.35,8,1.0918,478.723
0.35,7,1.4672,91.7166
0.35,6,1.985,85.1143
0.35,5,1.49142,138.379
0.35,4,4.57283,118.857
0.35,3,6.45015,98.8839
0.35,2,4.32381,180.651
0.4,9,1.3413,108.842
0.4,8,1.91682,81.8211
0.4,7,1.54662,176.443
0.4,6,2.196,104.032
0.4,5,2.0633,127.818
0.4,4,1.81709,126.596
0.4,3,2.29909,172.654
0.4,2,2.25504,82.9897
0.45,9,1.34711,232.94
0.45,8,1.83442,168.857
0.45,7,1.61665,120.352
0.45,6,2.43224,139.985
0.45,5,1.99692,193.538
0.45,4,2.0742,103.97
0.45,3,5.40827,157.501
0.45,2,8.77425,142.611
0.5,9,1.31494,102.14
0.5,8,1.28619,142.867
0.5,7,2.11108,111.853
0.5,6,1.91635,92.3419
0.5,5,2.64102,119.449
0.5,4,2.93918,132.261
0.5,3,4.26911,138.632
0.5,2,23.08,119.306
0.55,9,1.33309,112.786
0.55,8,1.65641,99.2123
0.55,7,2.04001,133.727
0.55,6,3.09038,122.513
0.55,5,2.95941,125.954
0.55,4,6.25474,121.597
0.55,3,7.78549,157.341
0.55,2,45.3101,268.981
0.6,9,1.47319,94.7334
0.6,8,1.83207,123.377
0.6,7,1.45072,106.633
0.6,6,3.28743,103.947
0.6,5,4.59182,122.793
0.6,4,4.43075,117.462
0.6,3,20.3035,125.564
0.6,2,20.9,140.678
0.65,9,1.19518,169.955
0.65,8,2.49996,111.059
0.65,7,2.55228,125.668
0.65,6,3.39761,97.7961
0.65,5,4.10951,135.967
0.65,4,7.62874,105.67
0.65,3,6.71729,134.87
0.65,2,8.66382,130.007
0.7,9,2.72424,96.4051
0.7,8,1.4452,185.29
0.7,7,2.90231,153.852
0.7,6,5.54863,96.0665
0.7,5,3.18079,116.275
0.7,4,4.11946,135.917
0.7,3,7.80042,131.349
0.7,2,54.2451,153.354
0.75,9,1.99432,116.877
0.75,8,2.18844,101.307
0.75,7,2.81061,123.991
0.75,6,2.6737,115.481
0.75,5,4.99501,131.213
0.75,4,3.67454,147.419
0.75,3,5.03246,136.351
0.75,2,21.1053,129.231
0.8,9,2.24758,146.091
0.8,8,2.44345,115.687
0.8,7,2.50594,148.735
0.8,6,4.13113,115.091
0.8,5,3.49702,128.779
0.8,4,7.12195,139.887
0.8,3,8.72092,144.735
0.8,2,7.20082,147.839
0.85,9,1.81854,113.414
0.85,8,2.25303,138.742
0.85,7,3.04221,117.633
0.85,6,4.3134,132.517
0.85,5,5.20428,117.941
0.85,4,6.39226,158.379
0.85,3,8.43707,131.425
0.85,2,59.4295,102.523
0.9,9,1.38976,122.753
0.9,8,2.3122,117.19
0.9,7,2.92397,114.806
0.9,6,3.31937,124.945
0.9,5,2.60713,128.911
0.9,4,16.1976,146.933
0.9,3,5.12089,122.899
0.9,2,15.9679,124.027
0.95,9,1.92012,129.587
0.95,8,2.07473,128.564
0.95,7,2.95491,119.678
0.95,6,4.54482,136.459
0.95,5,3.7412,122.477
0.95,4,8.81096,124.871
0.95,3,9.26254,137.574
0.95,2,123.127,127.09
